"Year","Fruit","Variety","Area_harvested_ha","Yield_t_per_ha","Production_tons","Average_Temperature_C","Rainfall_mm","Pest_Incidence_Index","Irrigation_Water_m3_per_ha","Productivity","Growth_Percent","Disease_Class","NDVI_Index","Soil_Moisture_pct","GDD_Base10","Reference_ETo_mm","Notes","Prod_total_orig"
2011,"Apples","Braeburn",291.93,9.9,2889.09,15,345,0.22,2431,0.73,60.08,"None",0.776,8.97,1253,330.7,"@ anomaly",45316.65
2020,"Apples","Braeburn",348.74,9.19,3204.84,17.72,280.5,0.37,3280,0.608,61.95,"Bacterial",0.614,6.55,2255,351.6,"@  reviewed",57340.18
1997,"Apples","Fuji",902.83,22.36,20183.82,13.52,295.5,0.41,3016,1.775,56.69,"Bacterial",0.666,8.55,1590,352.5,"@ data entry check",120196.82
2010,"Apples","Fuji",77.42,10.15,786.03,18.23,313.9,0.41,2800,0.71,55.67,"Bacterial",0.687,8.28,1891,368.3,"@ missing-field flag",62791.24
2015,"Apples","Fuji",,6.33,,17.42,249.6,0.34,3655,0.424,59.42,"Bacterial",0.581,8.07,2124,349.8,"@",18994.77
2016,"Apples","Fuji",1943.79,8.4,16336.26,23.5,320.6,0.33,3000,0.558,60.15,"Bacterial",0.676,11.48,3166,358.3,"@ data entry check",44982.96
1998,"Apples","Gala",265.33,19.5,5173.42,18.02,289.1,0.26,,,58.47,"Bacterial",0.672,,2376,362.5,"@",97253.2
2000,"Apples","Gala",947.29,8.58,8124.47,16.18,308.6,0.3,2912,0.682,60.87,"Bacterial",0.75,6.65,2106,348.4,"@ anomaly",45559.19
2015,"Apples","Gala",,5.92,,17.42,249.6,0.34,3655,0.397,59.42,"Bacterial",0.581,8.07,2124,349.8,"@",18994.77
2018,"Apples","Gala",1876,6.16,11548.94,20.94,304.1,0.3,3007,0.426,63.21,"Bacterial",0.656,11.44,2880,348.7,"@  reviewed",46287.6
1995,"Apples","Golden Delicious",38.49,15.28,587.95,16.18,281.5,0.55,3237,1.19,53.12,"Bacterial",0.626,10.22,1658,362.7,"@ ok",39273.1
1996,"Apples","Golden Delicious",805.5,16.34,13162.15,20.06,348,0.35,2563,1.451,58.39,"Fungal",0.739,6.87,2441,337.2,"@",58782.51
2010,"Apples","Golden Delicious",2027.23,10.36,20998.38,18.23,313.9,0.41,2800,0.724,55.67,"Bacterial",0.687,8.28,1891,368.3,"@ missing-field flag",62791.24
2007,"Apples","Granny Smith",1044.99,13.56,14174.46,15.1,341,0.18,2690,1.085,61.3,"None",0.69,9.61,1541,354.8,"@ missing-field flag",63844.71
2022,"Apples","Granny Smith",189.28,7.69,1456.31,19.69,245.7,0.31,3623,0.465,57.92,"Bacterial",0.619,7.56,1842,353.5,"@ ok",48710.51
2007,"Apples","Jonagold",316.91,13.94,4418.97,15.1,341,0.18,2690,1.115,61.3,"None",0.69,9.61,1541,354.8,"@ missing-field flag",63844.71
2015,"Apples","Jonagold",,6.23,,17.42,249.6,0.34,3655,0.418,59.42,"Bacterial",0.581,8.07,2124,349.8,"@",18994.77
2004,"Apples","Pink Lady",908.22,13.96,12683.05,13.04,319.8,0.32,2796,1.053,54.32,"Bacterial",0.663,10.98,1045,362.7,"@ missing-field flag",74353.91
2009,"Apples","Pink Lady",1884.44,11.35,21390.48,20.13,287.3,0.44,2940,0.827,56.38,"Bacterial",0.653,10.79,2268,356.3,"@ data entry check",47670.55
2016,"Apples","Pink Lady",782.7,8.42,6593.77,23.5,320.6,0.33,3000,0.559,60.15,"Bacterial",0.676,11.48,3166,358.3,"@ data entry check",44982.96
1999,"Apples","Red Delicious",700.61,12.7,8899.52,21.18,317,0.35,2836,0.974,58.15,"Bacterial",0.684,9.47,2266,367.7,"@ missing-field flag",70129.91
2022,"Apples","Red Delicious",721.77,7.87,5678.35,19.69,245.7,0.31,3623,0.476,57.92,"Bacterial",0.619,7.56,1842,353.5,"@ ok",48710.51
2009,"Bananas","Basrai",116.25,12.7,1476.37,23,311.4,0.18,2816,0.936,61.8,"None",0.688,6.68,2951,364.2,"@",7026.3
2012,"Bananas","Basrai",90.28,16.72,1509.09,18.44,267.9,0.49,3225,1.073,51.84,"Bacterial",0.583,8.86,2420,352.8,"@  reviewed",22701.4
1998,"Bananas","Cavendish",114.1,30.54,3484.94,17.52,249.1,0.43,3683,2.091,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
2003,"Bananas","Cavendish",238.1,30.79,7330.84,13.37,319.2,0.32,3015,2.39,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2007,"Bananas","Cavendish",164.4,24.94,4099.93,21.81,273.1,0.4,3401,1.726,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2013,"Bananas","Cavendish",132.99,17.96,2388.35,18.88,,0.25,2485,1.481,50.73,"Fungal",,,1590,,"@",16319.68
2021,"Bananas","Cavendish",1.4,9.7,13.58,13.8,286.9,0.25,3286,0.625,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Cavendish",44.86,11.65,522.53,16.83,243,0.44,3644,0.644,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2004,"Bananas","Dwarf Cavendish",162.01,30.27,4904.55,10.78,293.2,0.4,3083,2.279,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
1999,"Bananas","Grand Nain",101.74,31.28,3182.69,18.42,294.8,0.3,3144,2.537,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2008,"Bananas","Grand Nain",40.05,23.6,945.03,19.58,308.6,0.33,2921,1.646,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
1995,"Bananas","Gros Michel",277.11,40.84,11316.33,20.08,,0.43,2497,3.466,,"Fungal",,,2804,,"@  reviewed",38079.41
1998,"Bananas","Gros Michel",22.81,31.13,710.04,17.52,249.1,0.43,3683,2.132,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
2002,"Bananas","Gros Michel",47.73,31.58,1507.4,22.19,325.4,0.28,2706,2.564,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2019,"Bananas","Gros Michel",49.48,14.19,702.05,23.11,240.3,0.5,3726,0.871,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Gros Michel",71.89,11.45,822.94,15.7,357.7,0.27,2605,0.792,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
1996,"Bananas","Robusta",542.78,28.02,15206.64,13.39,348.5,0.23,2579,2.312,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1998,"Bananas","Robusta",484.04,29.25,14158.4,17.52,249.1,0.43,3683,2.003,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
2003,"Bananas","Robusta",175.88,31.3,5505.26,13.37,319.2,0.32,3015,2.43,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2017,"Bananas","Robusta",64.68,20,1293.55,14.25,276.6,0.43,3269,1.284,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2014,"Bananas","Williams",422.26,15.3,6461.3,13.66,272.7,0.32,3296,0.931,53.14,"Bacterial",0.624,6.67,1080,356.5,"@ ok",20050.25
2022,"Bananas","Williams",509.4,11.46,5836.5,16.83,243,0.44,3644,0.634,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
1999,"Dates","Ajwa",243.07,7.37,1791.19,18.19,386.5,0.31,2378,0.685,56.84,"Fungal",0.79,9.44,2404,335.4,"@ ok",12062.89
2014,"Dates","Ajwa",37.94,19.37,734.87,16.91,264,0.43,3528,1.288,54.88,"Bacterial",0.588,7.21,1904,358.2,"@",34149.9
2019,"Dates","Ajwa",48.34,19.73,953.89,12.64,311.8,0.23,2822,1.345,58.94,"None",0.659,10.03,926,338.8,"@ ok",43087.44
1999,"Dates","Barhi",43.94,7.63,335.29,18.19,386.5,0.31,2378,0.709,56.84,"Fungal",0.79,9.44,2404,335.4,"@ ok",12062.89
2000,"Dates","Barhi",218.37,15.08,3293.35,18.48,312.1,0.33,3043,1.12,60.82,"Bacterial",0.707,8.4,2794,367.2,"@ data entry check",19997.67
2002,"Dates","Barhi",532.19,9.69,5158.34,18.9,267.3,0.48,3312,0.671,57.75,"Bacterial",0.676,8.6,1734,350.9,"@  reviewed",26244.91
2013,"Dates","Barhi",83.62,15.94,1332.81,14.12,352.6,0.38,2628,1.052,58.22,"Fungal",,,1387,,"@ anomaly",34950.65
2020,"Dates","Barhi",128.68,12.59,1620.29,22,261.5,0.24,3486,0.834,58.91,"None",0.542,11.25,2532,342.1,"@",22570.16
2023,"Dates","Deglet Noor",25.19,18.41,463.74,20.31,262.4,0.3,3295,1.109,54.56,"Bacterial",0.594,10.79,2531,372.8,"@",44137.37
2000,"Dates","Halawi",656.67,15.96,10483.02,18.48,312.1,0.33,3043,1.185,60.82,"Bacterial",0.707,8.4,2794,367.2,"@ data entry check",19997.67
2019,"Dates","Halawi",63.75,19.75,1259.28,12.64,311.8,0.23,2822,1.347,58.94,"None",0.659,10.03,926,338.8,"@ ok",43087.44
2005,"Dates","Khadrawy",271.73,6.61,1796.22,14.53,268.6,0.48,3364,0.464,57.39,"Bacterial",0.631,10.41,1493,351.2,"@",11467.43
2009,"Dates","Khadrawy",50.84,9.58,487.23,23.24,261.2,0.45,3580,0.655,61.94,"Bacterial",0.576,9.74,2872,352.9,"@",10713.88
2014,"Dates","Medjool",147.99,19.14,2831.87,16.91,264,0.43,3528,1.273,54.88,"Bacterial",0.588,7.21,1904,358.2,"@",34149.9
